grid_size,n_search_robots,requested_distance_shell,spawn_position_id,algorithm_seed,target_x,target_y,search_robot_id,search_start_x,search_start_y,initial_distance,time_to_attractive_detection,distance_at_detection,mode_switch_step,found,steps_to_target,time_from_detection_to_target,path_efficiency,post_detection_path_efficiency,convergence_rate,stagnation_count,post_detection_stagnation_count,final_distance
50,3,40,3,545403,25,25,1,0,10,40,36.0,5.0,36.0,1,39.0,3.0,1.0256410256410255,1.6666666666666667,1.3333333333333333,0,0,1
50,3,40,3,545403,25,25,2,48,8,40,,,,0,,,,,,15,0,32
50,3,40,3,545403,25,25,3,0,40,40,,,,0,,,,,,13,0,28
50,3,40,3,545404,25,25,1,0,10,40,36.0,5.0,36.0,1,39.0,3.0,1.0256410256410255,1.6666666666666667,1.3333333333333333,0,0,1
50,3,40,3,545404,25,25,2,48,8,40,,,,0,,,,,,14,0,30
50,3,40,3,545404,25,25,3,0,40,40,,,,0,,,,,,23,0,48
50,3,40,3,545405,25,25,1,0,10,40,36.0,5.0,36.0,1,39.0,3.0,1.0256410256410255,1.6666666666666667,1.3333333333333333,0,0,1
50,3,40,3,545405,25,25,2,48,8,40,,,,0,,,,,,15,0,32
50,3,40,3,545405,25,25,3,0,40,40,,,,0,,,,,,13,0,28
50,3,40,3,545406,25,25,1,0,10,40,53.0,8.0,53.0,0,,,,,,10,0,3
50,3,40,3,545406,25,25,2,48,8,40,53.0,6.0,53.0,1,57.0,4.0,0.7017543859649122,1.5,1.25,9,0,1
50,3,40,3,545406,25,25,3,0,40,40,,,,0,,,,,,24,0,32
50,3,40,3,545407,25,25,1,0,10,40,355.0,26.0,355.0,1,379.0,24.0,0.10554089709762533,1.0833333333333333,1.0416666666666667,170,0,1
50,3,40,3,545407,25,25,2,48,8,40,,,,0,,,,,,189,0,40
50,3,40,3,545407,25,25,3,0,40,40,361.0,26.0,361.0,0,,,,,,173,0,8
50,3,40,3,545408,25,25,1,0,10,40,99.0,10.0,99.0,0,,,,,,34,0,3
50,3,40,3,545408,25,25,2,48,8,40,,,,0,,,,,,44,0,23
50,3,40,3,545408,25,25,3,0,40,40,99.0,8.0,99.0,1,105.0,6.0,0.38095238095238093,1.3333333333333333,1.1666666666666667,33,0,1
50,3,40,3,545409,25,25,1,0,10,40,36.0,5.0,36.0,1,39.0,3.0,1.0256410256410255,1.6666666666666667,1.3333333333333333,0,0,1
50,3,40,3,545409,25,25,2,48,8,40,,,,0,,,,,,14,0,30
50,3,40,3,545409,25,25,3,0,40,40,,,,0,,,,,,13,0,28
50,3,40,3,545410,25,25,1,0,10,40,53.0,8.0,53.0,0,,,,,,10,0,3
50,3,40,3,545410,25,25,2,48,8,40,53.0,6.0,53.0,1,57.0,4.0,0.7017543859649122,1.5,1.25,9,0,1
50,3,40,3,545410,25,25,3,0,40,40,,,,0,,,,,,31,0,46
50,3,50,4,545501,25,25,1,0,1,49,,,,0,,,,,,42,0,37
50,3,50,4,545501,25,25,2,1,0,49,89.0,9.0,89.0,1,96.0,7.0,0.5104166666666666,1.2857142857142858,1.1428571428571428,24,0,1
50,3,50,4,545501,25,25,3,0,49,49,89.0,9.0,89.0,0,,,,,,24,0,2
50,3,50,4,545502,25,25,1,0,1,49,43.0,7.0,43.0,1,48.0,5.0,1.0208333333333333,1.4,1.2,0,0,1
50,3,50,4,545502,25,25,2,1,0,49,,,,0,,,,,,23,0,48
50,3,50,4,545502,25,25,3,0,49,49,43.0,7.0,43.0,0,,,,,,0,0,2
50,3,50,4,545503,25,25,1,0,1,49,43.0,7.0,43.0,1,48.0,5.0,1.0208333333333333,1.4,1.2,0,0,1
50,3,50,4,545503,25,25,2,1,0,49,,,,0,,,,,,23,0,48
50,3,50,4,545503,25,25,3,0,49,49,43.0,7.0,43.0,0,,,,,,0,0,2
